account_id,district_id,frequency,date,dateYear
576,55,ONCE A MONTH,1993/1/1 0:00,1993
3818,74,ONCE A MONTH,1993/1/1 0:00,1993
704,55,ONCE A MONTH,1993/1/1 0:00,1993
2378,16,ONCE A MONTH,1993/1/1 0:00,1993
2632,24,ONCE A MONTH,1993/1/2 0:00,1993
1972,77,ONCE A MONTH,1993/1/2 0:00,1993
1539,1,AFTER DEAL,1993/1/3 0:00,1993
793,47,ONCE A MONTH,1993/1/3 0:00,1993
2484,74,ONCE A MONTH,1993/1/3 0:00,1993
1695,76,ONCE A MONTH,1993/1/3 0:00,1993
1726,48,ONCE A MONTH,1993/1/3 0:00,1993
2881,70,ONCE A MONTH,1993/1/4 0:00,1993
2357,19,ONCE A MONTH,1993/1/4 0:00,1993
2177,62,ONCE A MONTH,1993/1/4 0:00,1993
485,6,AFTER DEAL,1993/1/4 0:00,1993
652,21,ONCE A MONTH,1993/1/5 0:00,1993
9635,70,ONCE A MONTH,1993/1/5 0:00,1993
1844,44,ONCE A MONTH,1993/1/6 0:00,1993
1926,37,ONCE A MONTH,1993/1/6 0:00,1993
2393,10,ONCE A MONTH,1993/1/7 0:00,1993
3510,41,ONCE A MONTH,1993/1/7 0:00,1993
1276,36,ONCE A MONTH,1993/1/7 0:00,1993
1637,1,ONCE A MONTH,1993/1/8 0:00,1993
3871,26,ONCE A MONTH,1993/1/8 0:00,1993
192,55,ONCE A MONTH,1993/1/8 0:00,1993
764,1,ONCE A MONTH,1993/1/8 0:00,1993
2087,7,ONCE A WEEK,1993/1/8 0:00,1993
2122,68,ONCE A MONTH,1993/1/8 0:00,1993
3592,54,ONCE A MONTH,1993/1/8 0:00,1993
3487,41,ONCE A MONTH,1993/1/8 0:00,1993
435,38,ONCE A MONTH,1993/1/8 0:00,1993
1730,1,ONCE A MONTH,1993/1/9 0:00,1993
1493,41,ONCE A MONTH,1993/1/9 0:00,1993
374,38,ONCE A MONTH,1993/1/9 0:00,1993
2925,1,ONCE A MONTH,1993/1/10 0:00,1993
866,9,ONCE A MONTH,1993/1/10 0:00,1993
1628,60,ONCE A MONTH,1993/1/10 0:00,1993
2379,44,ONCE A MONTH,1993/1/10 0:00,1993
1979,26,ONCE A MONTH,1993/1/11 0:00,1993
346,37,ONCE A MONTH,1993/1/11 0:00,1993
1338,74,ONCE A MONTH,1993/1/11 0:00,1993
1909,14,ONCE A MONTH,1993/1/12 0:00,1993
2099,3,ONCE A WEEK,1993/1/12 0:00,1993
3760,44,ONCE A MONTH,1993/1/13 0:00,1993
5270,44,ONCE A MONTH,1993/1/13 0:00,1993
1699,53,ONCE A MONTH,1993/1/14 0:00,1993
3909,1,ONCE A MONTH,1993/1/14 0:00,1993
